날짜,지역,유종,가격
2024-01-01,강원도,GAS,1588.21
2024-01-01,강원도,DSL,1505.37
2024-01-01,경기도,GAS,1570.69
2024-01-01,경기도,DSL,1480.80
2024-01-01,경상남도,GAS,1557.21
2024-01-01,경상남도,DSL,1464.49
2024-01-01,경상북도,GAS,1553.59
2024-01-01,경상북도,DSL,1461.18
2024-01-01,광주광역시,GAS,1549.80
2024-01-01,광주광역시,DSL,1457.40
2024-01-01,대구광역시,GAS,1525.07
2024-01-01,대구광역시,DSL,1434.82
2024-01-01,대전광역시,GAS,1548.97
2024-01-01,대전광역시,DSL,1472.48
2024-01-01,부산광역시,GAS,1549.83
2024-01-01,부산광역시,DSL,1451.70
2024-01-01,서울특별시,GAS,1643.37
2024-01-01,서울특별시,DSL,1568.06
2024-01-01,세종특별자치시,GAS,1568.53
2024-01-01,세종특별자치시,DSL,1485.53
2024-01-01,울산광역시,GAS,1541.43
2024-01-01,울산광역시,DSL,1449.98
2024-01-01,인천광역시,GAS,1550.71
2024-01-01,인천광역시,DSL,1470.35
2024-01-01,전라남도,DSL,1490.18
2024-01-01,전라남도,GAS,1580.71
2024-01-01,전라북도,GAS,1563.93
2024-01-01,전라북도,DSL,1473.59
2024-01-01,제주특별자치도,GAS,1598.59
2024-01-01,제주특별자치도,DSL,1492.87
2024-01-01,충청남도,GAS,1576.47
2024-01-01,충청남도,DSL,1491.06
2024-01-01,충청북도,GAS,1581.85
2024-01-01,충청북도,DSL,1491.86
2024-02-01,강원도,GAS,1625.06
2024-02-01,강원도,DSL,1531.19
2024-02-01,경기도,GAS,1619.48
2024-02-01,경기도,DSL,1522.30
2024-02-01,경상남도,GAS,1597.84
2024-02-01,경상남도,DSL,1501.91
2024-02-01,경상북도,GAS,1600.85
2024-02-01,경상북도,DSL,1501.49
2024-02-01,광주광역시,GAS,1596.45
2024-02-01,광주광역시,DSL,1497.60
2024-02-01,대구광역시,GAS,1585.46
2024-02-01,대구광역시,DSL,1485.28
2024-02-01,대전광역시,GAS,1610.61
2024-02-01,대전광역시,DSL,1517.87
2024-02-01,부산광역시,GAS,1601.44
2024-02-01,부산광역시,DSL,1500.35
2024-02-01,서울특별시,GAS,1699.49
2024-02-01,서울특별시,DSL,1611.32
2024-02-01,세종특별자치시,GAS,1613.03
2024-02-01,세종특별자치시,DSL,1520.31
2024-02-01,울산광역시,GAS,1595.92
2024-02-01,울산광역시,DSL,1500.28
2024-02-01,인천광역시,GAS,1615.29
2024-02-01,인천광역시,DSL,1521.67
2024-02-01,전라남도,DSL,1511.07
2024-02-01,전라남도,GAS,1608.65
2024-02-01,전라북도,GAS,1601.74
2024-02-01,전라북도,DSL,1503.32
2024-02-01,제주특별자치도,GAS,1680.29
2024-02-01,제주특별자치도,DSL,1586.23
2024-02-01,충청남도,GAS,1614.71
2024-02-01,충청남도,DSL,1519.58
2024-02-01,충청북도,GAS,1620.19
2024-02-01,충청북도,DSL,1521.25
2024-03-01,강원도,GAS,1647.79
2024-03-01,강원도,DSL,1550.21
2024-03-01,경기도,GAS,1644.33
2024-03-01,경기도,DSL,1543.12
2024-03-01,경상남도,GAS,1623.95
2024-03-01,경상남도,DSL,1524.79
2024-03-01,경상북도,GAS,1627.23
2024-03-01,경상북도,DSL,1525.72
2024-03-01,광주광역시,GAS,1622.39
2024-03-01,광주광역시,DSL,1519.68
2024-03-01,대구광역시,GAS,1608.40
2024-03-01,대구광역시,DSL,1505.28
2024-03-01,대전광역시,GAS,1630.16
2024-03-01,대전광역시,DSL,1535.61
2024-03-01,부산광역시,GAS,1626.35
2024-03-01,부산광역시,DSL,1521.93
2024-03-01,서울특별시,GAS,1716.28
2024-03-01,서울특별시,DSL,1623.32
2024-03-01,세종특별자치시,GAS,1636.13
2024-03-01,세종특별자치시,DSL,1540.37
2024-03-01,울산광역시,GAS,1620.52
2024-03-01,울산광역시,DSL,1522.54
2024-03-01,인천광역시,GAS,1639.79
2024-03-01,인천광역시,DSL,1539.92
2024-03-01,전라남도,DSL,1537.53
2024-03-01,전라남도,GAS,1637.46
2024-03-01,전라북도,GAS,1627.17
2024-03-01,전라북도,DSL,1525.08
2024-03-01,제주특별자치도,GAS,1684.06
2024-03-01,제주특별자치도,DSL,1588.92
2024-03-01,충청남도,GAS,1642.22
2024-03-01,충청남도,DSL,1543.74
2024-03-01,충청북도,GAS,1643.21
2024-03-01,충청북도,DSL,1540.82
2024-04-01,강원도,GAS,1693.73
2024-04-01,강원도,DSL,1570.02
2024-04-01,경기도,GAS,1693.78
2024-04-01,경기도,DSL,1559.06
2024-04-01,경상남도,GAS,1671.47
2024-04-01,경상남도,DSL,1544.53
2024-04-01,경상북도,GAS,1671.23
2024-04-01,경상북도,DSL,1542.65
2024-04-01,광주광역시,GAS,1671.40
2024-04-01,광주광역시,DSL,1539.87
2024-04-01,대구광역시,GAS,1658.55
2024-04-01,대구광역시,DSL,1522.65
2024-04-01,대전광역시,GAS,1691.52
2024-04-01,대전광역시,DSL,1560.14
2024-04-01,부산광역시,GAS,1672.06
2024-04-01,부산광역시,DSL,1537.78
2024-04-01,서울특별시,GAS,1762.31
2024-04-01,서울특별시,DSL,1641.57
2024-04-01,세종특별자치시,GAS,1685.86
2024-04-01,세종특별자치시,DSL,1558.99
2024-04-01,울산광역시,GAS,1664.12
2024-04-01,울산광역시,DSL,1535.32
2024-04-01,인천광역시,GAS,1692.94
2024-04-01,인천광역시,DSL,1558.05
2024-04-01,전라남도,DSL,1558.04
2024-04-01,전라남도,GAS,1682.22
2024-04-01,전라북도,GAS,1679.23
2024-04-01,전라북도,DSL,1544.35
2024-04-01,제주특별자치도,GAS,1757.66
2024-04-01,제주특별자치도,DSL,1635.42
2024-04-01,충청남도,GAS,1689.30
2024-04-01,충청남도,DSL,1564.47
2024-04-01,충청북도,GAS,1696.34
2024-04-01,충청북도,DSL,1560.15
2024-05-01,강원도,GAS,1714.50
2024-05-01,강원도,DSL,1563.95
2024-05-01,경기도,GAS,1701.46
2024-05-01,경기도,DSL,1537.43
2024-05-01,경상남도,GAS,1684.32
2024-05-01,경상남도,DSL,1531.27
2024-05-01,경상북도,GAS,1685.16
2024-05-01,경상북도,DSL,1522.56
2024-05-01,광주광역시,GAS,1684.94
2024-05-01,광주광역시,DSL,1520.67
2024-05-01,대구광역시,GAS,1664.11
2024-05-01,대구광역시,DSL,1495.47
2024-05-01,대전광역시,GAS,1691.95
2024-05-01,대전광역시,DSL,1538.74
2024-05-01,부산광역시,GAS,1671.95
2024-05-01,부산광역시,DSL,1515.16
2024-05-01,서울특별시,GAS,1763.77
2024-05-01,서울특별시,DSL,1627.24
2024-05-01,세종특별자치시,GAS,1696.38
2024-05-01,세종특별자치시,DSL,1541.58
2024-05-01,울산광역시,GAS,1663.00
2024-05-01,울산광역시,DSL,1511.88
2024-05-01,인천광역시,GAS,1687.26
2024-05-01,인천광역시,DSL,1526.28
2024-05-01,전라남도,DSL,1554.54
2024-05-01,전라남도,GAS,1704.38
2024-05-01,전라북도,GAS,1692.23
2024-05-01,전라북도,DSL,1527.16
2024-05-01,제주특별자치도,GAS,1705.75
2024-05-01,제주특별자치도,DSL,1558.92
2024-05-01,충청남도,GAS,1702.96
2024-05-01,충청남도,DSL,1549.20
2024-05-01,충청북도,GAS,1707.79
2024-05-01,충청북도,DSL,1545.49
2024-06-01,강원도,GAS,1673.27
2024-06-01,강원도,DSL,1511.38
2024-06-01,경기도,GAS,1656.46
2024-06-01,경기도,DSL,1483.08
2024-06-01,경상남도,GAS,1645.74
2024-06-01,경상남도,DSL,1477.23
2024-06-01,경상북도,GAS,1645.14
2024-06-01,경상북도,DSL,1466.84
2024-06-01,광주광역시,GAS,1648.52
2024-06-01,광주광역시,DSL,1473.58
2024-06-01,대구광역시,GAS,1624.17
2024-06-01,대구광역시,DSL,1441.93
2024-06-01,대전광역시,GAS,1641.71
2024-06-01,대전광역시,DSL,1483.56
2024-06-01,부산광역시,GAS,1631.96
2024-06-01,부산광역시,DSL,1467.08
2024-06-01,서울특별시,GAS,1718.99
2024-06-01,서울특별시,DSL,1580.46
2024-06-01,세종특별자치시,GAS,1654.86
2024-06-01,세종특별자치시,DSL,1486.46
2024-06-01,울산광역시,GAS,1626.72
2024-06-01,울산광역시,DSL,1464.65
2024-06-01,인천광역시,GAS,1637.98
2024-06-01,인천광역시,DSL,1459.57
2024-06-01,전라남도,DSL,1508.03
2024-06-01,전라남도,GAS,1672.97
2024-06-01,전라북도,GAS,1655.01
2024-06-01,전라북도,DSL,1477.95
2024-06-01,제주특별자치도,GAS,1682.44
2024-06-01,제주특별자치도,DSL,1530.89
2024-06-01,충청남도,GAS,1664.73
2024-06-01,충청남도,DSL,1495.24
2024-06-01,충청북도,GAS,1668.88
2024-06-01,충청북도,DSL,1496.42
2024-07-01,강원도,GAS,1712.76
2024-07-01,강원도,DSL,1553.23
2024-07-01,경기도,GAS,1712.69
2024-07-01,경기도,DSL,1548.30
2024-07-01,경상남도,GAS,1691.00
2024-07-01,경상남도,DSL,1524.91
2024-07-01,경상북도,GAS,1695.83
2024-07-01,경상북도,DSL,1522.24
2024-07-01,광주광역시,GAS,1690.72
2024-07-01,광주광역시,DSL,1522.50
2024-07-01,대구광역시,GAS,1685.46
2024-07-01,대구광역시,DSL,1512.06
2024-07-01,대전광역시,GAS,1711.69
2024-07-01,대전광역시,DSL,1557.84
2024-07-01,부산광역시,GAS,1693.62
2024-07-01,부산광역시,DSL,1530.19
2024-07-01,서울특별시,GAS,1774.36
2024-07-01,서울특별시,DSL,1637.64
2024-07-01,세종특별자치시,GAS,1705.75
2024-07-01,세종특별자치시,DSL,1541.33
2024-07-01,울산광역시,GAS,1683.58
2024-07-01,울산광역시,DSL,1520.96
2024-07-01,인천광역시,GAS,1711.54
2024-07-01,인천광역시,DSL,1546.70
2024-07-01,전라남도,DSL,1543.24
2024-07-01,전라남도,GAS,1707.32
2024-07-01,전라북도,GAS,1697.54
2024-07-01,전라북도,DSL,1526.00
2024-07-01,제주특별자치도,GAS,1757.52
2024-07-01,제주특별자치도,DSL,1613.79
2024-07-01,충청남도,GAS,1705.73
2024-07-01,충청남도,DSL,1540.33
2024-07-01,충청북도,GAS,1711.28
2024-07-01,충청북도,DSL,1544.71
2024-08-01,강원도,GAS,1705.08
2024-08-01,강원도,DSL,1548.93
2024-08-01,경기도,GAS,1692.80
2024-08-01,경기도,DSL,1529.60
2024-08-01,경상남도,GAS,1680.81
2024-08-01,경상남도,DSL,1517.03
2024-08-01,경상북도,GAS,1681.54
2024-08-01,경상북도,DSL,1511.44
2024-08-01,광주광역시,GAS,1677.03
2024-08-01,광주광역시,DSL,1510.53
2024-08-01,대구광역시,GAS,1662.35
2024-08-01,대구광역시,DSL,1492.63
2024-08-01,대전광역시,GAS,1678.25
2024-08-01,대전광역시,DSL,1528.09
2024-08-01,부산광역시,GAS,1669.05
2024-08-01,부산광역시,DSL,1507.17
2024-08-01,서울특별시,GAS,1751.89
2024-08-01,서울특별시,DSL,1615.62
2024-08-01,세종특별자치시,GAS,1689.10
2024-08-01,세종특별자치시,DSL,1525.78
2024-08-01,울산광역시,GAS,1659.80
2024-08-01,울산광역시,DSL,1501.27
2024-08-01,인천광역시,GAS,1692.98
2024-08-01,인천광역시,DSL,1535.63
2024-08-01,전라남도,GAS,1701.31
2024-08-01,전라남도,DSL,1536.88
2024-08-01,전라북도,GAS,1683.13
2024-08-01,전라북도,DSL,1514.41
2024-08-01,제주특별자치도,GAS,1713.11
2024-08-01,제주특별자치도,DSL,1564.53
2024-08-01,충청남도,GAS,1696.51
2024-08-01,충청남도,DSL,1534.13
2024-08-01,충청북도,GAS,1696.43
2024-08-01,충청북도,DSL,1532.70
2024-09-01,강원도,GAS,1639.16
2024-09-01,강원도,DSL,1479.94
2024-09-01,경기도,GAS,1620.04
2024-09-01,경기도,DSL,1452.72
2024-09-01,경상남도,GAS,1614.19
2024-09-01,경상남도,DSL,1448.29
2024-09-01,경상북도,GAS,1609.24
2024-09-01,경상북도,DSL,1443.08
2024-09-01,광주광역시,GAS,1601.84
2024-09-01,광주광역시,DSL,1435.84
2024-09-01,대구광역시,GAS,1580.38
2024-09-01,대구광역시,DSL,1415.41
2024-09-01,대전광역시,GAS,1597.74
2024-09-01,대전광역시,DSL,1453.31
2024-09-01,부산광역시,GAS,1602.57
2024-09-01,부산광역시,DSL,1435.19
2024-09-01,서울특별시,GAS,1686.26
2024-09-01,서울특별시,DSL,1544.18
2024-09-01,세종특별자치시,GAS,1622.58
2024-09-01,세종특별자치시,DSL,1459.24
2024-09-01,울산광역시,DSL,1433.22
2024-09-01,울산광역시,GAS,1591.92
2024-09-01,인천광역시,GAS,1611.92
2024-09-01,인천광역시,DSL,1450.28
2024-09-01,전라남도,GAS,1639.23
2024-09-01,전라남도,DSL,1474.51
2024-09-01,전라북도,GAS,1616.36
2024-09-01,전라북도,DSL,1449.32
2024-09-01,제주특별자치도,GAS,1625.85
2024-09-01,제주특별자치도,DSL,1473.68
2024-09-01,충청남도,GAS,1636.64
2024-09-01,충청남도,DSL,1470.94
2024-09-01,충청북도,GAS,1633.39
2024-09-01,충청북도,DSL,1466.10
2024-10-01,강원도,GAS,1603.09
2024-10-01,강원도,DSL,1440.30
2024-10-01,경기도,GAS,1593.21
2024-10-01,경기도,DSL,1418.79
2024-10-01,경상남도,GAS,1580.96
2024-10-01,경상남도,DSL,1408.04
2024-10-01,경상북도,GAS,1577.27
2024-10-01,경상북도,DSL,1407.34
2024-10-01,광주광역시,GAS,1568.89
2024-10-01,광주광역시,DSL,1395.78
2024-10-01,대구광역시,GAS,1554.13
2024-10-01,대구광역시,DSL,1379.85
2024-10-01,대전광역시,GAS,1577.59
2024-10-01,대전광역시,DSL,1420.85
2024-10-01,부산광역시,GAS,1569.45
2024-10-01,부산광역시,DSL,1394.06
2024-10-01,서울특별시,GAS,1659.71
2024-10-01,서울특별시,DSL,1511.46
2024-10-01,세종특별자치시,GAS,1587.60
2024-10-01,세종특별자치시,DSL,1421.70
2024-10-01,울산광역시,DSL,1399.35
2024-10-01,울산광역시,GAS,1562.47
2024-10-01,인천광역시,GAS,1581.72
2024-10-01,인천광역시,DSL,1418.79
2024-10-01,전라남도,GAS,1598.86
2024-10-01,전라남도,DSL,1430.18
2024-10-01,전라북도,GAS,1586.85
2024-10-01,전라북도,DSL,1415.12
2024-10-01,제주특별자치도,GAS,1609.92
2024-10-01,제주특별자치도,DSL,1453.94
2024-10-01,충청남도,GAS,1602.06
2024-10-01,충청남도,DSL,1430.32
2024-10-01,충청북도,GAS,1603.69
2024-10-01,충청북도,DSL,1428.60
2024-11-01,강원도,GAS,1638.18
2024-11-01,강원도,DSL,1476.98
2024-11-01,경기도,GAS,1633.47
2024-11-01,경기도,DSL,1463.43
2024-11-01,경상남도,GAS,1614.18
2024-11-01,경상남도,DSL,1445.46
2024-11-01,경상북도,GAS,1617.25
2024-11-01,경상북도,DSL,1448.44
2024-11-01,광주광역시,GAS,1610.24
2024-11-01,광주광역시,DSL,1436.80
2024-11-01,대구광역시,GAS,1597.46
2024-11-01,대구광역시,DSL,1424.26
2024-11-01,대전광역시,GAS,1620.95
2024-11-01,대전광역시,DSL,1462.46
2024-11-01,부산광역시,GAS,1608.46
2024-11-01,부산광역시,DSL,1434.12
2024-11-01,서울특별시,GAS,1697.97
2024-11-01,서울특별시,DSL,1552.60
2024-11-01,세종특별자치시,GAS,1631.65
2024-11-01,세종특별자치시,DSL,1465.74
2024-11-01,울산광역시,DSL,1437.38
2024-11-01,울산광역시,GAS,1600.56
2024-11-01,인천광역시,GAS,1623.54
2024-11-01,인천광역시,DSL,1465.04
2024-11-01,전라남도,GAS,1628.50
2024-11-01,전라남도,DSL,1458.51
2024-11-01,전라북도,GAS,1615.15
2024-11-01,전라북도,DSL,1446.01
2024-11-01,제주특별자치도,GAS,1674.36
2024-11-01,제주특별자치도,DSL,1527.02
2024-11-01,충청남도,GAS,1633.82
2024-11-01,충청남도,DSL,1466.19
2024-11-01,충청북도,GAS,1637.88
2024-11-01,충청북도,DSL,1466.57
2024-12-01,강원도,GAS,1662.11
2024-12-01,강원도,DSL,1509.09
2024-12-01,경기도,GAS,1657.44
2024-12-01,경기도,DSL,1498.25
2024-12-01,경상남도,GAS,1641.21
2024-12-01,경상남도,DSL,1487.31
2024-12-01,경상북도,GAS,1647.02
2024-12-01,경상북도,DSL,1488.14
2024-12-01,광주광역시,GAS,1637.38
2024-12-01,광주광역시,DSL,1479.50
2024-12-01,대구광역시,GAS,1622.96
2024-12-01,대구광역시,DSL,1464.66
2024-12-01,대전광역시,GAS,1640.63
2024-12-01,대전광역시,DSL,1494.41
2024-12-01,부산광역시,GAS,1641.77
2024-12-01,부산광역시,DSL,1480.94
2024-12-01,서울특별시,GAS,1714.10
2024-12-01,서울특별시,DSL,1576.73
2024-12-01,세종특별자치시,GAS,1655.37
2024-12-01,세종특별자치시,DSL,1501.75
2024-12-01,울산광역시,DSL,1476.16
2024-12-01,울산광역시,GAS,1634.97
2024-12-01,인천광역시,GAS,1648.96
2024-12-01,인천광역시,DSL,1495.39
2024-12-01,전라남도,GAS,1654.73
2024-12-01,전라남도,DSL,1494.97
2024-12-01,전라북도,GAS,1640.49
2024-12-01,전라북도,DSL,1484.38
2024-12-01,제주특별자치도,GAS,1691.59
2024-12-01,제주특별자치도,DSL,1548.79
2024-12-01,충청남도,GAS,1657.40
2024-12-01,충청남도,DSL,1500.74
2024-12-01,충청북도,GAS,1662.62
2024-12-01,충청북도,DSL,1501.14
2025-01-01,강원도,GAS,1715.83
2025-01-01,강원도,DSL,1571.22
2025-01-01,경기도,GAS,1713.31
2025-01-01,경기도,DSL,1566.29
2025-01-01,경상남도,GAS,1698.28
2025-01-01,경상남도,DSL,1555.61
2025-01-01,경상북도,GAS,1702.00
2025-01-01,경상북도,DSL,1552.44
2025-01-01,광주광역시,GAS,1691.84
2025-01-01,광주광역시,DSL,1545.93
2025-01-01,대구광역시,GAS,1682.76
2025-01-01,대구광역시,DSL,1534.73
2025-01-01,대전광역시,GAS,1701.97
2025-01-01,대전광역시,DSL,1564.16
2025-01-01,부산광역시,GAS,1710.90
2025-01-01,부산광역시,DSL,1554.23
2025-01-01,서울특별시,GAS,1776.75
2025-01-01,서울특별시,DSL,1643.45
2025-01-01,세종특별자치시,GAS,1705.81
2025-01-01,세종특별자치시,DSL,1565.55
2025-01-01,울산광역시,DSL,1546.99
2025-01-01,울산광역시,GAS,1698.83
2025-01-01,인천광역시,GAS,1712.94
2025-01-01,인천광역시,DSL,1568.22
2025-01-01,전라남도,GAS,1705.40
2025-01-01,전라남도,DSL,1557.02
2025-01-01,전라북도,GAS,1691.81
2025-01-01,전라북도,DSL,1548.80
2025-01-01,제주특별자치도,GAS,1743.10
2025-01-01,제주특별자치도,DSL,1605.65
2025-01-01,충청남도,GAS,1709.80
2025-01-01,충청남도,DSL,1565.65
2025-01-01,충청북도,GAS,1714.62
2025-01-01,충청북도,DSL,1566.79
2025-02-01,강원도,GAS,1741.62
2025-02-01,강원도,DSL,1606.84
2025-02-01,경기도,GAS,1730.23
2025-02-01,경기도,DSL,1594.77
2025-02-01,경상남도,GAS,1715.46
2025-02-01,경상남도,DSL,1584.05
2025-02-01,경상북도,GAS,1722.86
2025-02-01,경상북도,DSL,1582.48
2025-02-01,광주광역시,GAS,1713.82
2025-02-01,광주광역시,DSL,1583.60
2025-02-01,대구광역시,GAS,1700.37
2025-02-01,대구광역시,DSL,1562.80
2025-02-01,대전광역시,GAS,1714.08
2025-02-01,대전광역시,DSL,1592.72
2025-02-01,부산광역시,GAS,1720.76
2025-02-01,부산광역시,DSL,1579.33
2025-02-01,서울특별시,GAS,1791.00
2025-02-01,서울특별시,DSL,1665.71
2025-02-01,세종특별자치시,GAS,1731.24
2025-02-01,세종특별자치시,DSL,1603.68
2025-02-01,울산광역시,DSL,1575.90
2025-02-01,울산광역시,GAS,1715.63
2025-02-01,인천광역시,GAS,1727.58
2025-02-01,인천광역시,DSL,1594.80
2025-02-01,전라남도,GAS,1729.64
2025-02-01,전라남도,DSL,1593.28
2025-02-01,전라북도,GAS,1710.87
2025-02-01,전라북도,DSL,1579.21
2025-02-01,제주특별자치도,GAS,1768.41
2025-02-01,제주특별자치도,DSL,1645.38
2025-02-01,충청남도,GAS,1731.02
2025-02-01,충청남도,DSL,1598.19
2025-02-01,충청북도,GAS,1733.52
2025-02-01,충청북도,DSL,1599.32
2025-03-01,강원도,GAS,1711.75
2025-03-01,강원도,DSL,1579.58
2025-03-01,경기도,GAS,1681.76
2025-03-01,경기도,DSL,1546.24
2025-03-01,경상남도,GAS,1677.71
2025-03-01,경상남도,DSL,1545.85
2025-03-01,경상북도,GAS,1686.76
2025-03-01,경상북도,DSL,1545.63
2025-03-01,광주광역시,GAS,1676.71
2025-03-01,광주광역시,DSL,1548.83
2025-03-01,대구광역시,GAS,1654.48
2025-03-01,대구광역시,DSL,1517.56
2025-03-01,대전광역시,GAS,1661.47
2025-03-01,대전광역시,DSL,1541.39
2025-03-01,부산광역시,GAS,1669.56
2025-03-01,부산광역시,DSL,1531.36
2025-03-01,서울특별시,GAS,1747.02
